DATE,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2016/5/11,5957,16315,39099,47017,25360,15981,11779,3840,3055,16223,1985,4629,5761,10905,10213,19343,15932,5470,7954,3090,8412,8488,4409,27536,2297,10519,11925,15982,21413,16631,8975,27860,18978,33714,29600,10252,37378,27277,25491,21269,26920,131526,36826,25302,24927,26082,34837,29384,24151,13239,33177,7456,8330,19465,5301,3485,3196,14022,10470,7355,36350,6802,11936,6850,21210,19819,27392,37896,40407,26500,26888,64891,24306,31976,39868,22477,55647,20203,17272,15912,12094,9837,27155,17730,7039,7865,39971,22841,22481,21459,13609,11843,4352,4400,4519,9310,9263,11579,17788,28914,24325,11741,12533,12260,11875,11912,8722,8228
2016/5/12,6174,16166,38980,47536,25434,15693,11795,3940,3065,15912,2014,4584,6200,10682,10287,18947,15756,5615,7834,3132,8475,8369,4439,27999,2365,10658,12002,16002,20974,16582,8935,27643,19864,33048,29004,10377,37028,26959,25259,21291,26174,137642,37138,24515,25062,26928,35514,29412,23255,13124,32301,7341,8404,19329,5139,3375,3131,13811,10048,7263,37011,6710,12083,6775,21224,19722,26782,37537,39858,26120,26703,65944,23577,31678,39447,22367,57564,19875,16857,15907,12442,10119,29875,17305,7181,7826,39164,22849,22180,21408,13582,11616,4316,4206,4583,9457,9016,11655,17480,28575,24430,11727,12446,12045,11776,11623,8884,8206
2016/5/13,6579,17482,41635,58431,27261,15145,12891,4160,3136,16912,2129,5099,6721,10937,12435,19039,16524,6493,8705,3565,9224,9385,4651,28875,2580,11582,13019,17085,22091,17618,9802,32277,22632,35732,31849,10443,40223,29191,27194,22687,27548,188240,43797,26985,26468,29652,41607,32128,25464,13493,33782,7655,8494,20220,6045,3601,3124,14211,10800,7259,41658,7258,13504,7779,23135,20351,31390,45269,42444,28158,28807,84751,25501,35820,48130,26810,69866,20494,18892,16789,14008,11136,48849,19722,8222,8819,42179,24108,23823,23516,14200,12921,4677,4521,4989,10167,10350,12167,18824,30870,27727,13044,13637,14221,12443,12780,10141,8970
2016/5/14,5397,11574,25938,59506,19125,11896,9674,3693,2714,12794,1845,4037,9738,8413,15119,6975,8486,5313,7654,3932,6422,7235,2393,19028,2493,12121,10084,14048,17361,16583,8502,33764,22516,29775,27249,5841,33648,23971,21195,19388,16625,190307,43283,21528,18542,30154,42512,30482,22152,9792,26140,6207,6440,16323,7370,3149,2184,10178,9433,6071,47356,5755,13858,6633,18670,15135,29913,42518,34841,22447,30037,89478,18723,36117,44516,24374,63877,16606,16666,10770,10202,9908,55466,14529,10534,6842,23219,17753,17339,19841,10780,10996,5049,2875,4373,7891,9441,9766,14377,22365,26441,11050,10809,12637,10348,11620,8237,7678
2016/5/15,5064,9121,19364,47385,15487,9517,7678,3463,2208,12462,1472,3367,8975,7173,11613,6193,6533,4150,6335,4013,5783,6323,2096,15705,2279,10737,9069,12234,14234,15653,7473,30188,19165,23853,30428,4338,28651,20692,18598,16663,12511,183589,36354,14964,17518,28681,35301,26480,23262,8080,22541,5536,4822,14702,6470,2858,1959,8987,8459,5501,46270,5486,11279,5740,16176,12057,24390,37150,29440,20066,24852,77148,14650,29527,35470,19487,51902,13664,13532,9205,9001,7780,43108,11192,10764,5850,17479,15406,14240,15134,9098,8953,3882,2394,3466,6672,7892,8523,11780,18329,22497,9584,9478,9904,8948,9484,7476,7009
2016/5/16,5997,16257,38460,45252,25014,15464,11740,3896,2985,15908,1924,4535,4994,10471,9431,18495,15691,5484,7974,2795,8554,8206,4690,27390,2222,10234,11869,15888,20828,16386,8909,27093,18300,33370,27728,10299,37354,26641,25708,20754,26528,138946,34028,23501,24387,24361,32094,27562,22261,12538,31655,7238,8033,18418,4858,3318,3139,13650,9855,7013,35688,6735,11439,6762,21120,19442,26089,38513,39677,25804,25764,63738,22414,30134,37886,21514,55890,20426,17221,15566,12565,9184,39500,17453,6646,8324,39515,22013,22367,21102,13756,11414,4193,4403,4585,9620,9134,11635,17280,29040,23788,11637,12166,12120,12125,11988,8588,8231
2016/5/17,5913,16007,38426,45570,25080,15459,11672,3767,3045,16098,2007,4662,5898,10552,9849,18539,15992,5407,7947,2875,8424,8122,4315,28195,2255,10210,11640,15723,20949,16379,9022,26946,18484,33325,28745,10308,36612,26670,25180,20997,26796,132942,35017,23546,24635,25948,34388,28529,23280,13230,32323,7095,8320,18996,5521,3333,3165,14023,10275,7170,35413,6764,11631,6638,21235,19825,26279,37586,39608,25914,25927,62098,23216,29798,38120,21539,54453,20369,16976,15808,12211,9731,27683,17392,7016,7796,38508,21738,22120,21027,13417,11579,4208,4282,4538,9256,9057,11472,17290,28080,23830,11502,12385,12054,11781,11705,8599,8106
2016/5/18,5953,16062,38667,46786,24997,15603,11609,3765,2905,15978,2019,4644,6262,10787,10292,18602,16128,5528,8129,3164,8528,8357,4327,28552,2159,10821,12049,15931,20562,16564,9029,27386,19229,33484,30145,10282,36750,26805,25556,20931,27474,133383,35789,23882,24576,26390,34755,29494,25186,12916,32535,7339,8162,19217,5473,3433,3170,13828,10167,7098,36774,6808,11772,6689,21225,19555,26616,38570,40172,26211,26281,64976,24294,30696,38483,22232,55079,20164,16998,16227,12531,10150,26809,17504,7103,8071,39661,21817,22369,21230,13438,11725,4375,4354,4569,9286,9266,11706,17384,29053,24101,11475,12324,12039,11640,11751,8739,8072
2016/5/19,6166,16049,39090,47863,25529,15462,11678,3798,3123,16179,2006,4560,5958,10644,10262,18719,15627,5544,7917,3370,8422,8159,4342,27492,2354,11233,11942,16188,20771,16758,8994,27635,19316,33982,30530,10455,37291,26949,25387,20967,28393,138559,36488,23437,24385,26555,34514,28854,23298,12865,32373,7385,8472,19278,5398,3482,3079,14594,10217,7163,36987,6670,11806,6779,21236,19536,26907,38467,39951,25939,26561,65720,23846,30849,38768,21716,56024,20204,16931,16033,12229,10367,27379,17543,7347,8022,39255,22292,22407,21436,13676,11503,4433,4317,4435,9297,8978,11796,17417,28343,24676,11558,12288,12082,11833,11572,8509,7998
2016/5/20,6697,17027,41322,54931,26728,16593,12319,3991,3117,16272,2178,4726,6431,10450,12533,18825,16235,5990,8593,3480,8676,8878,4461,28651,2586,11541,12939,16986,21857,18240,9602,31451,21658,35938,36469,12527,39688,28868,26594,22286,36691,181795,42339,25295,25830,28410,39367,31379,25341,13094,33755,7618,8340,20097,5917,3577,3223,13683,10453,7125,40466,7169,13190,7542,22627,19979,30064,43938,41593,27954,28478,80809,25300,33446,45439,25687,66410,21075,17750,16765,13425,10915,40585,19460,8226,8933,41558,23402,24190,23082,13942,12614,4581,4512,4868,9704,9938,12053,18258,30323,27435,12421,13180,13032,12450,12365,9225,8666
